Row,Class,Block,V2 Length,V2 Width,V2 Area,V3 Length,V3 Width,V3 Area,V4 Length,V4 Width,V4 Area,V5 Length,V5 Width,V5 Area,V6 Length,V6 Width,V6 Area,V7 Length,V7 Width,V7 Area,V8 Length,V8 Width,V8 Area,V9 Length,V9 Width,V9 Area,V10 Length,V10 Width,V10 Area,V11 Length,V11 Width,V11 Area,V12 Length,V12 Width,V12 Area,V13 Length,V13 Width,V13 Area,V14 Length,V14 Width,V14 Area,V15 Length,V15 Width,V15 Area,V16 Length,V16 Width,V16 Area,V17 Length,V17 Width,V17 Area,V18 Length,V18 Width,V18 Area,V19 Length,V19 Width,V19 Area,V20 Length,V20 Width,V20 Area
AS23-0940.04,WT,Block 4,9.2,1.6,11.04,14.6,2.3,25.185,23,2.7,46.575,28.8,3.4,73.44,39.5,3.9,115.5375,45.9,4.6,158.355,54.5,5.6,228.9,61,6.3,288.225,69.7,6.7,350.2425,62,8.7,373.85,74.9,9.2,479.4,74,9.7,540.03,85.4,10.7,631.9,79.9,11,601.4,72.7,10.6,622.28,72.9,10.1,595.14,65.9,9.4,483.31,60.5,8.7,413.19,50.8,7.4,294.99
AS23-0940.07,WT,Block 4,10.8,1.5,12.15,16.2,2.3,27.945,22.5,2.4,40.5,29.7,3.1,69.0525,36.4,3.9,106.47,41.9,4.6,144.555,49.3,5.3,195.9675,57,6.2,265.05,55.2,7.1,293.94,54.8,7.8,320.43,63.5,8.5,403.95,69.9,8.6,445.54,71.8,9.1,437.91,72,9.5,469.86,75.2,9.7,506.46,68.5,9.5,493.33,73.6,9,480.42,60.2,8.1,405.93,55.3,7.6,331.15
AS23-0940.12,WT,Block 4,10.6,1.5,11.925,15.6,1.9,22.23,22.5,2.7,45.5625,28.9,3.2,69.36,39.6,3.8,112.86,42.8,4.4,141.24,52.6,5.3,209.085,61.9,6.4,297.12,69.5,6.9,359.6625,71.5,8.1,417.09,76,8.9,479.96,81,9.2,563.09,84.2,9.9,614.76,82,9.9,616.17,71.8,10.5,553.04,72.4,9.1,527.61,65.2,9,473.97,65.7,7.9,393.38,52.2,6.7,293.01
AS23-0940.13,WT,Block 4,12.6,1.7,16.065,19.5,2.2,32.175,27.8,2.9,60.465,33.5,3.5,87.9375,42.4,3.9,124.02,45.2,4.9,166.11,55.2,5.6,231.84,65.1,6.4,312.48,71.8,6.9,371.565,71.9,8.5,445.52,76.1,9.2,489.34,77.1,9.3,544.6,80,10.3,539.92,74.9,10.3,475.3,71,9.5,501.29,63.3,9.4,447.46,62.9,8.7,412.67,67,8.1,360.87,48.5,6,219.89
AS23-0940.14,WT,Block 4,11,1.5,12.375,15.6,2,23.4,22.4,2.7,45.36,31.3,3.1,72.7725,39.2,3.7,108.78,44.7,4.4,147.51,53.2,5.2,207.48,61.6,6.3,291.06,71.8,6.7,360.795,70.8,9.7,409.48,74.1,8.3,472.49,77.1,8.6,530.32,84.2,9.4,577.8,80,9.4,550.27,76.6,8.9,510.86,55.8,7.8,342.2,56.8,7.8,356.61,54.9,7,295.74,48.8,6.2,235.43
AS23-0940.15,WT,Block 4,12.4,1.6,14.88,19.1,1.9,27.2175,25.6,2.7,51.84,32.2,3.3,79.695,40.8,3.8,116.28,48,4.5,162,56.2,5.5,231.825,65.6,6.3,309.96,74.1,7.1,394.5825,73.1,8.1,440.76,75.2,8.7,491.64,77.4,9.3,556.78,85.8,10,632.27,85.6,10,626.26,155,9.4,596.28,66.8,8.9,513.76,63.7,8.1,432.81,58.2,7.3,333.61,44.6,7.1,241.87
AS23-0940.16,WT,Block 4,11.3,1.6,13.56,16.3,2.1,25.6725,23.1,3,51.975,31.3,3.3,77.4675,41,3.9,119.925,47,4.7,165.675,52.9,5.7,226.1475,62.8,6.6,310.86,73.1,7.3,400.2225,70.4,8.3,422.96,72.1,9.3,484.4,76.1,9.3,534.18,79.9,10.2,576.55,80.8,10.9,600.06,73.6,9.7,503.05,55.4,9.3,407.9,63.5,9.8,395.31,58.3,7.9,331.38,51,6.4,260.62
AS23-0940.18,WT,Block 4,9.5,1.4,9.975,15.2,1.8,20.52,21.6,2.5,40.5,26.8,2.9,58.29,35.6,3.6,96.12,44.6,4.2,140.49,50,4.5,168.75,58.9,5.5,242.9625,66.3,6.5,323.2125,68.7,8,370.51,94.5,8.5,495.96,76.2,9.5,522.4,80,10,595.56,83.2,10,615.68,79.6,9.7,590.63,74.9,9.1,535.01,60.7,8.1,404.21,63,7.5,365.26,48.6,6.2,238.92
AS23-0941.03,rdla,Block 4,8,1.3,7.8,13.7,1.9,19.5225,19.5,2.6,38.025,27.3,2.9,59.3775,35.2,3.4,89.76,43.5,3.8,123.975,54.2,4.5,182.925,61,5.4,247.05,68.4,6,307.8,142.6,8,389.99,70.7,8,417.92,69.1,8.6,423.05,68.2,8.2,392.73,,,,61.9,8.9,379.97,55.6,8.4,337.88,50.6,7.4,295.84,54.6,6.5,245.56,46.8,5.5,199.46
AS23-0941.05,rdla,Block 4,8.6,1.3,8.385,13.4,1.9,19.095,19.5,2.5,36.5625,27.1,2.8,56.91,34.2,3.3,84.645,39.2,3.7,108.78,47.6,4.6,164.22,57.8,5.4,234.09,64.7,6.3,305.7075,58.9,7.1,293.94,,,,62.4,7.2,307.9,63.1,8.4,393.35,57.2,8.3,356.54,61.5,7,253.09,61.6,8,385.97,60.3,7.5,351.71,65.2,9.8,333.65,48.2,5.7,218.95
AS23-0941.08,rdla,Block 4,8,1.4,8.4,14.2,2,21.3,20.2,2.5,37.875,29.4,3,66.15,35.4,3.3,87.615,44.7,3.8,127.395,54.9,4.3,177.0525,66.6,5.3,264.735,74.4,6.3,351.54,70.3,7.7,402.01,68.2,8.4,423.77,68.9,8.8,435.37,61.5,6.2,282.96,55,8.7,309.03,62.8,9.1,419.48,64,7.9,368.19,53.5,6.8,283.77,52.3,5.9,254.76,44.9,4.9,168.92
AS23-0941.09,rdla,Block 4,9.8,1.7,12.495,15.5,2,23.25,24.1,2.7,48.8025,30.6,3.2,73.44,35.3,3.8,100.605,42.7,4.1,131.3025,49.3,5,184.875,58.7,5.3,233.3325,61.2,6.1,279.99,52.7,7.3,262.36,61.8,6.5,286.99,63.1,8.1,348.85,57.4,8.1,309.27,63.6,8.5,370.69,58.9,8.2,374.42,59.8,8.6,372.92,57.3,6.9,313.15,50.8,5.9,236.13,43.1,5.1,172.81
AS23-0941.10,rdla,Block 4,9.1,1.5,10.2375,14.2,2,21.3,21.1,2.7,42.7275,29.5,3.2,70.8,36.7,3.4,93.585,41.2,4.2,129.78,53.1,4.7,187.1775,61.4,5.6,257.88,70.6,6.5,344.175,70.4,8.2,389.67,72.2,8.4,427.28,68.5,9.1,423.74,72.3,9.1,464.31,63.4,9.3,386.54,67.6,9,423.67,60.9,8.6,392.9,55.3,7.9,331.26,44.9,7,237.1,45.2,6,209.67
AS23-0941.11,rdla,Block 4,9.4,1.4,9.87,13,1.9,18.525,19.6,2.4,35.28,25.7,2.8,53.97,26.9,3.4,68.595,36.5,3.4,93.075,50.1,4.5,169.0875,54.8,5.4,221.94,67.5,6.1,308.8125,134.6,7.7,382.24,71.8,8.3,437.18,98.9,8.5,460.61,74.3,9,463.67,70.3,9.3,430.43,71.3,9.1,471.19,60.7,8.7,391.44,48,8,292.91,51.5,7.1,289.3,45.3,6.1,216.13
AS23-0941.12,rdla,Block 4,7,1.2,6.3,11,1.7,14.025,17.4,2.5,32.625,26.3,2.9,57.2025,36.7,3.5,96.3375,44.2,3.9,129.285,49.2,4.9,180.81,56.4,5.7,241.11,62,6.4,297.6,57.4,7.8,271.17,59.5,6,272.61,,,,68.2,8.2,413.97,68.1,9.3,461.7,60.8,9.2,397.45,57.2,8.5,374.2,59.2,8.1,344.78,53.3,6.7,282.46,46.3,5.8,204.21
AS23-0941.14,rdla,Block 4,8.8,1.5,9.9,14.1,2.1,22.2075,21,2.7,42.525,29,3.2,69.6,40,3.7,111,45.9,4.7,161.7975,55.4,5.2,216.06,64.1,6.3,302.8725,69.2,6.7,347.73,63,7.9,371.25,63.3,8.8,432.41,69.3,8.8,431.35,64.8,8.7,364.15,69.2,9.6,455.71,54.8,9.3,380.68,58.6,8.6,367.85,57,8.1,345.61,48.9,6.4,251.62,48,5.3,176.8
AS23-0941.17,rdla,Block 4,8.9,1.5,10.0125,14,2,21,21.1,2.7,42.7275,30.4,3,68.4,38.2,3.7,106.005,45.6,4.4,150.48,49.8,5.2,194.22,60.9,5.7,260.3475,66.8,6.5,325.65,60,6.9,309.81,61.5,8.3,371.7,66.7,8.8,419.92,67.2,9.1,443.62,65.4,9.3,449.39,64.1,8.2,321.18,57.1,7.2,217.81,57,6.7,273.4,48.2,6.4,228.45,43.8,5.4,188.22
AS23-0941.18,rdla,Block 4,9.3,1.5,10.4625,14.2,2.1,22.365,21.5,2.8,45.15,28.1,3.2,67.44,35.8,3.7,99.345,42.4,4.3,136.74,52.2,4.9,191.835,59.3,5.5,244.6125,62.2,6.4,298.56,61.1,7.6,308.12,61.6,7.9,314.61,67.2,9,419.95,63.4,8.6,375.59,65,10.1,459.61,67.9,9.6,472.71,61.3,9.2,383.69,62.3,8.6,395.37,58.8,8.3,370.27,53.2,7,298.36
